hospital_id,has_ct_static,has_xray_static,has_neurosurgery_department,has_orthopedics_department,has_general_surgery_department,has_trauma_surgery_department,has_emergency_medicine_department,has_or_static,has_icu_static,has_neuro_icu_static,has_trauma_icu_static,capability_source,capability_confidence,capability_notes
A1100011,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned.
A1121013,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Surgical capability explicitly mentioned.
A1100047,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100141,true,true,true,true,true,false,true,true,true,true,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT explicitly mentioned. Neurosurgery/neuro capability explicitly mentioned. Orthopedic capability explicitly mentioned. Surgical capability explicitly mentioned.
A1100076,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100043,true,true,true,true,true,true,true,true,true,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1100006,true,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
A1121842,false,true,false,true,true,false,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true. Orthopedic capability explicitly mentioned. Surgical capability explicitly mentioned.
A1117285,true,true,true,true,true,true,true,true,false,false,false,seoul_open_data_text_and_level_inference,medium,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT explicitly mentioned. Neurosurgery/neuro capability explicitly mentioned. Orthopedic capability explicitly mentioned. Surgical capability explicitly mentioned. Trauma capability explicitly mentioned.
A1125429,false,true,false,false,false,false,true,false,false,false,false,seoul_open_data_text_and_level_inference,low,No live NEMC/HIRA equipment endpoint was used in this snapshot. Flags combine Seoul Open Data free-text fields and emergency institution level proxies. CT inferred from emergency institution level when true.
